NMI - PCA %;3%;5%;10%;15%;50%;75%
Indian Pines;0.6240296254054236;0.604360912773168;0.6165397293057999;0.5799439696766998;0.5586240383895118;0.6221733189669582
Indian Pines corrected;0.5425248688841763;0.6347966084413629;0.6529332542182192;0.611212583431879;0.6261101649628593;0.6173033720465627
Salinas;0.7435053576176451;0.6762311844275383;0.6767680923543999;0.7052609582605252;0.6765577183844257;0.6294706227977852
Salinas corrected;0.6992747600162823;0.7571226716584323;0.7570722671962191;0.7570166135794022;0.7570166135794021;0.7604216752746469
Botswana;0.8004234869756213;0.7309309059153409;0.7306982506452825;0.7861780717837759;0.7544087565097959;0.7993797877024252
Kennedy Space Centre;0.8602535332316472;0.8602535332316472;0.6762635086982108;0.6637981011445238;0.8607783345707274;0.6638930754694197
Salinas-A;0.7258577355308594;0.7580239651974066;0.7258577355308594;0.7463287652993488;0.7258577355308594;0.7258577355308594
Salinas-A corrected;0.7352161753090113;0.7257873641561575;0.725942680327621;0.7257873641561575;0.7353005828531485;0.7257873641561575
Pavia Centre;0.6531197661343879;0.8127750130639113;0.8606466916190072;0.8719087144056411;0.8125734289480886;0.8855730001178472
Pavia University;0.7821713038884995;0.6636208678152994;0.6642116945320125;0.7945666959079368;0.6642567056942152;0.8062671340601181
